timestamp,turbidity_in,turbidity_out,status,phase
164733,1205.04,1260.13,alert,emergency
164980,1205.04,1246.44,alert,emergency
165226,1191.13,1246.44,alert,emergency
165472,1205.04,1260.13,alert,emergency
165719,1218.89,1260.13,alert,emergency
165964,1205.04,1246.44,alert,emergency
166211,1191.13,1232.69,alert,emergency
166457,1205.04,1246.44,alert,emergency
166704,1205.04,1260.13,alert,emergency
166949,1205.04,1246.44,alert,emergency
167195,1205.04,1246.44,alert,emergency
167442,1191.13,1246.44,alert,emergency
167688,1205.04,1260.13,alert,emergency
167934,1218.89,1260.13,alert,emergency
168180,1205.04,1246.44,alert,emergency
168427,1191.13,1232.69,alert,emergency
168673,1205.04,1246.44,alert,emergency
168919,1205.04,1246.44,alert,emergency
169165,1191.13,1246.44,alert,emergency
169411,1191.13,1232.69,alert,emergency
169658,1191.13,1232.69,alert,emergency
169904,1205.04,1246.44,alert,emergency
170150,1205.04,1260.13,alert,emergency
170396,1205.04,1246.44,alert,emergency
170642,1191.13,1246.44,alert,emergency
170889,1205.04,1260.13,alert,emergency
171134,1218.89,1260.13,alert,emergency
171381,1205.04,1246.44,alert,emergency
171627,1191.13,1246.44,alert,emergency
171874,1205.04,1246.44,alert,emergency
172120,1205.04,1260.13,alert,emergency
172365,1205.04,1260.13,alert,emergency
172612,1191.13,1246.44,alert,emergency
172858,1191.13,1246.44,alert,emergency
173105,1205.04,1260.13,alert,emergency
173350,1218.89,1260.13,alert,emergency
173597,1205.04,1246.44,alert,emergency
173843,1191.13,1246.44,alert,emergency
174089,1205.04,1246.44,alert,emergency
174336,1218.89,1260.13,alert,emergency
174581,1218.89,1260.13,alert,emergency
174828,1205.04,1246.44,alert,emergency
175074,1205.04,1246.44,alert,emergency
175321,1205.04,1260.13,alert,emergency
175566,1205.04,1260.13,alert,emergency
175812,1205.04,1246.44,alert,emergency
176059,1191.13,1246.44,alert,emergency
176305,1205.04,1246.44,alert,emergency
176551,1218.89,1260.13,alert,emergency
176797,1218.89,1260.13,alert,emergency
177044,1205.04,1246.44,alert,emergency
177290,1205.04,1246.44,alert,emergency
177536,1218.89,1260.13,alert,emergency
177782,1218.89,1260.13,alert,emergency
178028,1191.13,1246.44,alert,emergency
178275,1191.13,1246.44,alert,emergency
178521,1205.04,1260.13,alert,emergency
178767,1205.04,1260.13,alert,emergency
179013,1205.04,1246.44,alert,emergency
179259,1191.13,1232.69,alert,emergency
179506,1191.13,1232.69,alert,emergency
179751,1205.04,1260.13,alert,emergency
179998,1205.04,1260.13,alert,emergency
180244,1191.13,1246.44,alert,emergency
180491,1191.13,1246.44,alert,emergency
180737,1205.04,1260.13,alert,emergency
180982,1205.04,1260.13,alert,emergency
181229,1205.04,1246.44,alert,emergency
181475,1191.13,1246.44,alert,emergency
181722,1205.04,1246.44,alert,emergency
181967,1205.04,1260.13,alert,emergency
182214,1218.89,1260.13,alert,emergency
182460,1191.13,1246.44,alert,emergency
182706,1191.13,1246.44,alert,emergency
182952,1205.04,1260.13,alert,emergency
183198,1205.04,1260.13,alert,emergency
183445,1191.13,1246.44,alert,emergency
183691,1191.13,1246.44,alert,emergency
183938,1205.04,1246.44,alert,emergency
184183,1205.04,1260.13,alert,emergency
184429,1205.04,1260.13,alert,emergency
184676,1191.13,1246.44,alert,emergency
184922,1191.13,1246.44,alert,emergency
185168,1205.04,1260.13,alert,emergency
185414,1218.89,1260.13,alert,emergency
185661,1191.13,1246.44,alert,emergency
185907,1191.13,1246.44,alert,emergency
186152,1205.04,1260.13,alert,emergency
